,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown,CrossUpCrossDown
196,2005-12-05,6.2751,6.2842,5.9969,6.1082,21657144,0,Monday,6.579910000000001,7.179612,False,True,0.0
197,2005-12-06,6.1266,6.3399,6.1266,6.2936,16236500,0,Tuesday,6.48906,7.163298,False,False,0.0
198,2005-12-07,6.4047,6.4510000000000005,6.1637,6.2473,17603751,0,Wednesday,6.462179999999999,7.153657999999998,False,False,0.0
199,2005-12-08,6.3305,6.3862,6.2101,6.2193,7005706,0,Thursday,6.40749,7.140867999999998,False,True,0.0
200,2005-12-09,6.3305,6.4604,6.3027,6.4325,10571601,0,Friday,6.357429999999999,7.130483999999998,False,False,0.0
201,2005-12-12,6.5995,6.6365,6.3121,6.3585,11111342,0,Monday,6.333349999999999,7.119547999999998,False,False,0.0
202,2005-12-13,6.377000000000001,6.414,6.2656,6.2936,8389475,0,Tuesday,6.31482,7.105645999999999,False,True,0.0
203,2005-12-14,6.4418,6.7941,6.3305,6.6271,33438585,0,Wednesday,6.326869999999999,7.091187999999999,False,False,0.0
204,2005-12-15,6.1637,6.4418,6.0247,6.0989,62573647,0,Thursday,6.3213099999999995,7.074689999999999,False,True,0.0
205,2005-12-16,6.1359,6.3027,6.0433,6.2378,35860334,0,Friday,6.318530000000001,7.059485999999998,False,False,0.0
206,2005-12-19,6.2101,6.2656,6.1172,6.1359,10267056,0,Monday,6.31203,7.0453959999999975,False,False,0.0
207,2005-12-20,6.1453,6.2101,6.0247,6.0341,11315385,0,Tuesday,6.3139,7.0324199999999975,False,True,0.0
208,2005-12-21,6.0803,6.4233,6.0619,6.2936,13556702,0,Wednesday,6.281460000000001,7.019259999999997,False,True,0.0
209,2005-12-22,6.2936,6.3954,6.2565,6.3213,9009208,0,Thursday,6.27777,7.010917999999998,False,False,0.0
210,2005-12-23,6.3027,6.349,6.2286,6.2565,5144770,0,Friday,6.274990000000001,7.003873999999997,False,False,0.0
211,2005-12-27,6.2936,6.3305,6.1359,6.1545,5269538,0,Tuesday,6.2444,6.9905279999999985,False,True,0.0
212,2005-12-28,6.2378,6.3305,6.1545,6.3027,9117099,0,Wednesday,6.230479999999999,6.972357999999998,False,True,0.0
213,2005-12-29,6.3399,6.5901,6.2936,6.4789,11447317,0,Thursday,6.220289999999999,6.956599999999998,False,False,0.0
214,2005-12-30,6.4510000000000005,6.4604,6.3305,6.3677,8592852,0,Friday,6.24902,6.941769999999999,False,True,0.0
215,2006-01-03,6.3862,6.5253,6.2101,6.4604,12520575,0,Tuesday,6.27405,6.92249,False,True,0.0
216,2006-01-04,6.4510000000000005,6.5808,6.349,6.5345,7042156,0,Wednesday,6.29814,6.907476,False,True,0.0
217,2006-01-05,6.6921,6.7477,6.553,6.5995,8368786,0,Thursday,6.3528199999999995,6.8943140000000005,False,True,0.0
218,2006-01-06,6.6087,6.9237,6.5623,6.9052,15640851,0,Friday,6.40566,6.874110000000001,False,False,0.0
219,2006-01-09,6.7941,6.9886,6.6829,6.8403,9510929,0,Monday,6.455709999999999,6.860766,False,True,0.0
220,2006-01-10,6.7477,6.9515,6.7477,6.8497,6697828,0,Tuesday,6.50021,6.852238,False,True,0.0
221,2006-01-11,6.8311,7.3779,6.7849,7.2668,22134240,0,Wednesday,6.553960000000001,6.846492,False,False,0.0
222,2006-01-12,7.2482,7.3409,7.1370000000000005,7.1833,10013699,0,Thursday,6.654999999999999,6.847790000000001,False,False,0.0
223,2006-01-13,7.1833,7.1833,6.8867,6.9052,12300903,0,Friday,6.73934,6.8464920000000005,False,False,0.0
224,2006-01-17,6.8311,6.8774,6.7107,6.7291,7348355,0,Tuesday,6.77735,6.832588,False,False,0.0
225,2006-01-18,6.6549,6.8774,6.6365,6.6458,9398147,0,Wednesday,6.804220000000001,6.808486,False,True,0.0
226,2006-01-19,6.6549,6.8218,6.5159,6.7568,7079279,0,Thursday,6.82461,6.774932,True,False,1.0
227,2006-01-20,6.7199,6.7568,6.4510000000000005,6.4974,11419940,0,Friday,6.827389999999999,6.748238,False,False,0.0
228,2006-01-23,6.5717,6.5717,6.4789,6.4881,7122714,0,Monday,6.823689999999999,6.718206,False,True,0.0
229,2006-01-24,6.4974,6.5253,6.3862,6.5159,13226035,0,Tuesday,6.794019999999999,6.688732,False,False,0.0
